المدن المدينة,تفاصيل الصفقات الحي,تفاصيل الصفقات المخطط,تفاصيل الصفقات عدد ا…,تفاصيل الصفقات التار…,تفاصيل الصفقات (رقم…,السعر بالريال السعودي,المساحة بالمتر المربع,سعر المتر المربع
جده,حي/البريكه,مخطط/خ/ 4/ 24,قطعة 788,26/10/2021,15119547,"120,000",695.5,173
جده,حي/البساتين,مخطط/244/ ب/ المعدل 2,قطعة 1791/2,17/10/2021,15021311,"7,228,620",1606.36,4500
جده,حي/البساتين,مخطط/298/ ب,قطعة 1778/1,03/10/2021,14894198,"3,000,000",340.5,8811
جده,حي/البساتين,مخطط/298/ ب,قطعة 1899/ب,05/10/2021,14912115,"2,330,000",330,7061
جده,حي/البساتين,مخطط/298/ ب,قطعة 303/ب,19/10/2021,14969602,"457,660",325,1408
جده,حي/البساتين,مخطط/298/ ب,قطعة 502/ب,24/10/2021,15093472,"1,750,000",345,5072
جده,حي/البساتين,مخطط/298/ ب,قطعة 914/أ,21/10/2021,15072915,"675,000",345,1957
جده,حي/البساتين,مخطط/3/ 457/ ع/ المع…,قطعة 453,21/10/2021,15073428,"1,000,000",363.46,2751
جده,حي/البشائر,مخطط/208/ ج/ س,قطعة 145,11/10/2021,14965007,"800,000",900,889
جده,حي/399/ 1427/ ع/ 3 ا…,مخطط/أخرى,قطعة 547,11/08/2021,14386894,"20,000",520,38
جده,حي/399/ 1427/ ع/ 3 ا…,مخطط/أخرى,قطعة 615,11/08/2021,14386897,"20,000",566.5,35
جده,حي/401/ 1427/ ع / 3/…,مخطط/أخرى,قطعة 261,11/08/2021,14386818,"50,000",660,76
جده,حي/401/ 1427/ ع / 3/…,مخطط/أخرى,قطعة 449,26/08/2021,14545165,"50,000",690,72
جده,حي/402/ 1427/ ع / 3/…,مخطط/أخرى,قطعة 54,17/08/2021,14438364,"50,000",645,78
جده,حي/أبحر الجنوبية,مخطط/162/ ج/ س,قطعة 296/ب,18/08/2021,14451248,"1,060,905",483.9,2192
جده,حي/أبحر الجنوبية,مخطط/162/ ج/ س,قطعة 324,10/08/2021,14364907,"100,000",673.11,149
جده,حي/أبحر الجنوبية,مخطط/216/ ب,قطعة 262/أ,08/08/2021,14345710,"1,285,000",420,3060
جده,حي/أبحر الجنوبية,مخطط/216/ ب,قطعة 262/ب,22/08/2021,14479614,"1,300,000",420,3095
جده,حي/أبحر الجنوبية,مخطط/216/ ب/ المعدل,قطعة 155/ب/أ,10/08/2021,14374782,"1,000,000",315.63,3168
جده,حي/أبحر الجنوبية,مخطط/أخرى,قطعة 1239/أ,31/08/2021,14575761,"4,530,500",1332.5,3400
جده,حي/أبحر الجنوبية,مخطط/ابحر الجنوبية,قطعة 5/أ,24/08/2021,14496961,"100,000",1250,80
جده,حي/أبحر الجنوبية,مخطط/ابحر الجنوبية,قطعة 52/ج,17/08/2021,14437543,"1,500,000",450,3333
جده,حي/أم سدرة,مخطط/412/ ج/ س,قطعة 1170/ب,03/08/2021,14318158,"180,000",864,208
جده,حي/أم سدرة,مخطط/412/ ج/ س,قطعة 1987/1/ب,03/08/2021,14308820,"110,000",450,244
جده,حي/أم سدرة,مخطط/412/ ج/ س,قطعة 2035/ب,24/08/2021,14499764,"195,000",900,217
