المدن المدينة,تفاصيل الصفقات الحي,تفاصيل الصفقات المخطط,تفاصيل الصفقات عدد ا…,تفاصيل الصفقات التار…,تفاصيل الصفقات (رقم…,السعر بالريال السعودي,المساحة بالمتر المربع,سعر المتر المربع
جده,حي/ابحر الشمالية,مخطط/440/ ب,قطعة 609/د,2021-10-14,15010505,"ر.س.‏ 1,800,000",625.0,2880
جده,حي/ابحر الشمالية,مخطط/534/ س/ ت,قطعة 48,2021-10-09,14947688,"ر.س.‏ 1,450,000",240.0,6042
جده,حي/الأمير فواز الجنو…,مخطط/108/ ب,قطعة 244,2021-10-10,14952734,"ر.س.‏ 1,500,000",900.0,1667
جده,حي/الأمير فواز الجنو…,مخطط/108/ ب,قطعة 976,2021-10-06,14932996,"ر.س.‏ 1,604,651",900.0,1783
جده,حي/الأمير فواز الجنو…,مخطط/439/ س/ ت,قطعة 209/ب,2021-10-19,15051820,"ر.س.‏ 1,263,766",514.28,2457
جده,حي/الأمير فواز الشما…,مخطط/359/ ج/ س,قطعة 15,2021-10-18,15035399,"ر.س.‏ 500,000",740.39,675
جده,حي/الاجاويد,مخطط/295/ ب,قطعة 153,2021-10-05,14917775,"ر.س.‏ 1,000,000",819.75,1220
جده,حي/الاجاويد,مخطط/295/ ب,قطعة 412/1,2021-10-06,14926511,"ر.س.‏ 250,000",275.0,909
جده,حي/الاجاويد,مخطط/397/ ج/ س,قطعة 641/ب,2021-10-19,15029207,"ر.س.‏ 455,407",362.5,1256
جده,حي/الاجواد,مخطط/223/ ب,قطعة 1291,2021-10-31,15168102,"ر.س.‏ 700,000",400.0,1750
جده,حي/الاجواد,مخطط/223/ ب,قطعة 442,2021-10-04,14907843,"ر.س.‏ 800,000",400.0,2000
جده,حي/الاجواد,مخطط/353/ ج/ س,قطعة 258,2021-10-25,14929858,"ر.س.‏ 962,560",697.39,1380
جده,حي/الاصالة,مخطط/372/ ب,قطعة 561/أ,2021-10-18,15032766,"ر.س.‏ 1,461,631",300.0,4872
جده,حي/الاصالة,مخطط/372/ ب,قطعة 757,2021-10-13,14992181,"ر.س.‏ 1,600,000",600.0,2667
جده,حي/الاصالة,مخطط/372/ ب,قطعة 880,2021-10-28,15137932,"ر.س.‏ 1,100,000",600.0,1833
جده,حي/الاصالة,مخطط/372/ ب,قطعة 980,2021-10-26,15113660,"ر.س.‏ 3,000,000",680.0,4412
جده,حي/الاصالة,مخطط/372/ ب,قطعة 980,2021-10-28,15140883,"ر.س.‏ 1,200,000",680.0,1765
جده,حي/الامواج,مخطط/251/ ب,قطعة 142/ب,2021-10-20,15065149,"ر.س.‏ 750,000",345.0,2174
جده,حي/الامواج,مخطط/251/ ب,قطعة 332/2,2021-10-13,14990801,"ر.س.‏ 400,000",420.0,952
جده,حي/الامواج,مخطط/251/ ب,قطعة 41,2021-10-09,14947862,"ر.س.‏ 1,200,000",720.0,1667
